"ID","ITEM","CONDITION","RESPONSE_TIME","ACCURATE","LIST","TYPE","QUESTION","CORRECT_ANSWER","ANSWER_CLEAN"
"P1",1,"Well-formed control",5323.92133920653,"correct","List1","Type1","Question 1","Answer X","Answer Y"
"P1",2,"Well-formed control",200,"correct","List1","Type1","Question 2","Answer X","Answer Y"
"P1",3,"Well-formed control",5648.02209111075,"correct","List1","Type1","Question 3","Answer X","Answer Y"
"P1",4,"Well-formed question",1862.38359258613,"correct","List1","Type1","Question 4","Answer X","Answer Y"
"P1",5,"Well-formed control",8985.38980168907,"incorrect","List1","Type1","Question 5","Answer X","Answer Y"
"P1",6,"Well-formed question",12873.8302887343,"incorrect","List1","Type1","Question 6","Answer X","Answer Y"
"P1",7,"Well-formed question",811.398951046994,"correct","List1","Type1","Question 7","Answer X","Answer Y"
"P1",8,"Well-formed question",7938.22532127508,"dont_know","List1","Type1","Question 8","Answer X","Answer Y"
"P1",9,"Well-formed control",8431.85280853241,"incorrect","List1","Type1","Question 9","Answer X","Answer Y"
"P1",10,"Illusion",4172.58156939793,"correct","List1","Type1","Question 10","Answer X","Answer Y"
"P1",11,"Bad control",2784.85198527091,"incorrect","List1","Type1","Question 11","Answer X","Answer Y"
"P1",12,"Well-formed question",9807.43612939016,"correct","List1","Type1","Question 12","Answer X","Answer Y"
"P1",13,"Well-formed question",200,"correct","List1","Type1","Question 13","Answer X","Answer Y"
"P1",14,"Illusion",2112.07152942919,"correct","List1","Type1","Question 14","Answer X","Answer Y"
"P1",15,"Well-formed question",200,"incorrect","List1","Type1","Question 15","Answer X","Answer Y"
"P1",16,"Well-formed control",10822.5492495009,"incorrect","List1","Type1","Question 16","Answer X","Answer Y"
"P1",17,"Bad control",3592.34975834764,"correct","List1","Type1","Question 17","Answer X","Answer Y"
"P1",18,"Illusion",2538.28236670706,"correct","List1","Type1","Question 18","Answer X","Answer Y"
"P1",19,"Well-formed control",18322.6984797601,"correct","List1","Type1","Question 19","Answer X","Answer Y"
"P1",20,"Well-formed control",4762.19373574718,"correct","List1","Type1","Question 20","Answer X","Answer Y"
"P1",21,"Illusion",2829.27747452798,"incorrect","List1","Type1","Question 21","Answer X","Answer Y"
"P1",22,"Bad control",5098.8861831681,"correct","List1","Type1","Question 22","Answer X","Answer Y"
"P1",23,"Illusion",200,"incorrect","List1","Type1","Question 23","Answer X","Answer Y"
"P1",24,"Illusion",6188.12830304875,"incorrect","List1","Type1","Question 24","Answer X","Answer Y"
"P1",25,"Illusion",4079.19712891644,"correct","List1","Type1","Question 25","Answer X","Answer Y"
"P1",26,"Well-formed control",6936.5258387689,"correct","List1","Type1","Question 26","Answer X","Answer Y"
"P1",27,"Bad control",1161.13977703485,"dont_know","List1","Type1","Question 27","Answer X","Answer Y"
"P1",28,"Well-formed question",425.005346003777,"correct","List1","Type1","Question 28","Answer X","Answer Y"
"P1",29,"Well-formed control",2064.51231688296,"correct","List1","Type1","Question 29","Answer X","Answer Y"
"P1",30,"Well-formed question",1345.78965156196,"correct","List1","Type1","Question 30","Answer X","Answer Y"
"P1",31,"Illusion",9096.38368019419,"incorrect","List1","Type1","Question 31","Answer X","Answer Y"
"P1",32,"Well-formed question",9821.29462368901,"correct","List1","Type1","Question 32","Answer X","Answer Y"
"P1",33,"Well-formed control",4314.15204090719,"correct","List1","Type1","Question 33","Answer X","Answer Y"
"P1",34,"Bad control",3075.70582244445,"correct","List1","Type1","Question 34","Answer X","Answer Y"
